label,Text
0,hari2 sambat cape banget jadi makhluk hidup
0,"@ciyeee_kepooo E tolol kau kontol, anak kau aja nanti mati biar di syukurin se indonesia"
0,"kalau dh sabtu minggu ni cape batin ðŸ™ðŸ» bisa ga aku hidup hari senin-jumat aja, sabtu minggu koma aja wkwkwk"
0,"""Tidak ada yang bisa menolongku sekarang."""
0,@Matt_Law_DT Duit banyak tp pengalaman di bola ga ada samsek bener2 petaka buat boehly. Potter harusnya udah dipecat paling lambat januari kemarin tp skrg mau bunuh diri dgn kasih kesempatan 2 games lg sampe 2nd leg ucl. Ancur legacy 20 tahun chelsea. RIP.
0,Gol dihitung sebagai gol bunuh diri dari Chris Mepham!
0,"Yatuhan mau ke jkt aja ribetnta stenga mati, ni sunib bikin jadwal PLS JANGAN KEJEPIT WEEKEND ANJ"
0,"Semuanya sedih. Karena mereka mati berdasarkan pengorbanan dan cinta. Tapi paling sedih buat gue itu kematian Neji. Anjir banget, gue sampe nangis kejer dan sampe berhenti nonton Naruto bertahun-tahun wkwkwkwk. Kalo inget aja sampe sekarang masih nyesek banget ðŸ’”"
0,"@rthurbraga @PolresJaksel @DivHumas_Polri @ListyoSigitP ""gak takut gua sama orang mati, laporÂ² aja ajg"". Coba tebak bekingan"
0,@Askrlfess Untung ga ada anak tiri ya nder.. Kalo ada dan anak tirimu baca ini pasti rasanya sama kayak aku ke ibu tiriku. Dia sering ngelarang2 bapak ku buat ke makam ibu. Sering kalo udah ke sana cuma bentar doang. Cinta ditinggal mati ga semudah itu nder. Gitu aja sih..
0,"Elena, seorang diri berusaha mencari tau tentang kebenaran kematian anaknya yang ia yakini bukan karena bunuh diri, meskipun Elena sendiri sedang menderita parkinson, penyakit yang menyebabkan kesulitan mengontrol gerak tubuh"
0,"alurnya maju mundur emg tapi itu kerasa pas aja karena sesuai porsi dan tujuannya ngatur naik turunnya emosi penonton. lu yang udh pernah baca manganya, inget volume 31? mau mati gak bacanya? lu mati dua kali pas nonton movie animenya iniâ€¦ karena sensasi DAG DIG DUG DER NYA ðŸ˜­ðŸ’–"
0,"indihume toh lemot lho dari kemarin, kemarin aja tibaÂ² langsung mati wifi padahal udah bayar"
0,Lai kali yang deketin tu cogan kek Ini yang deketin masalah terusss.. Masalah apa gak bosen apa deketin aku.. Capekkkk masalah terus yang ada di hidup ku wkwkk
0,"@Askrlfess Mba nya mau milih mati aja dri pada anak, nih ya mba Saya yg ibu nya masih hidup tapi sibuk aja udh ga sanggup, Apalagi blass tanpa kasih sayang ibu, perhatian ibu mbaa buset dah Tanggung jawab punya anak tuh, wajib mengasuhi dan mengajari. Jgn materi doang yg dicari"
0,"@detikcom TEROS AJA TEROS YG JAHAT DILINDUNGIN TEROSS, MATI JADI SANTAPAN MALAIKAT NANTI KALIAN BERDUA DI NERAKA MAKAN TUH BARA API! HeranðŸ˜‘"
0,Trus tau si bapa nya ngomong apa? Ya itu mah masih bisa eneng ngebut sampe sebrang sana Trus ku sautin aja lagi Pa kalo bapa mau mati mati aja sendiri jangan ajakajak Untung ada pedagang kakilima yg belain dan si bapa nya di bawa ke pinggir sama mereka
0,Jika iaNya mimpi buruk..Jangan terus bermimpi...sebab mimpi buruk Yang sebenarnya adalah nyata...mimpi buruk Kata-kata...sampai Mati terkenang jua...so lupakan aja..mudah.. Chill...Allah ada...
0,"@Askrlfess Pejabat di jepang pasti bisa sampe bunuh diri karena malu, kita liat disini wkkwkw"
0,@abu_waras @Cr07fans1 Vonis mati aja nih perompak ðŸ˜¡
0,"Eh, dh nya jangan di matiin... Si rj nya aja gapapa, mati bunuh diri pas si dh sadar kalo dia suka sama rj. Biar â€¦ â€” yaampun nder... :"" gmn yah:""  https://t.co/l9i8AydEgk"
0,saat ortu cuma bisa liat sisi jelek lo tpi ga perjuangan lo. mending mati aja kali ya? toh ga keliatan ini haha
0,"Aslinya lagi cape banget, cape luar dalem. Lagi denial, kenapa hidup kayak gini banget."
0,"Diulang2 terus, lu makan makanan beracun aja sih, bisa hidup 4 tahun gak? Cepetan sih makan makanan beracun gih, kalau lu beriman lu ga bakal mati kok."
0,kenapa ya giliran gue semangat nonton anime ada aja yg matiðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ apa ak salah pilih genreðŸ˜­ðŸ˜­ðŸ˜­
0,"@CNNIndonesia Yuk bisa yuk hukuman mati dihapus, gw pingin bunuhin pejabat korup, pengedar narkoba dan penegak hukum yg mempermainkan hukum"
0,"Pernah tuh pas itu lagi libur ga ada proker, akhirnya kita sekelompok pergi ke air terjun. Itu tuh ke air terjunnya harus naik turun gunung jalan kaki. Gw yg ga tau Medan perjalanannya dan males sarapan jadi pede aja jalan, dipertengahan jalan rasanya pen mati ga kuat, gemeteran"
0,@NyimasLaula @govoes Ya masa cuma baca Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri Bunuh diri... musti kasih trigger warning ðŸ˜…
0,"@Merry32426011 @Arie_Kriting ""Gak takut anak orang mati,mau lapor lapor aja"" Bahasanya udah kalangan kebal hukum ni orang. Sekolah tinggi adab minus"
0,@rabbitonthebear Ada dua kemungkinan al bunuh diri apa al bunuh felix jg
0,@tcsav Nyesel kan lu ikut mati aja
0,"ðŸ’™ hidup sendiri, masalah datang ga cuma dari keluarga, tp pertemanan, percintaan, dan saking banyaknya bingung mau diselesainnya gmn. setiap hari ga berhenti mikir, ""kira kira nanti malem nangis karena apalagi ya."" :) aku udh ditahap cape banget, semangat buat kalian yg (cont)"
0,Ternyata bacot juga y aku di twt. Untung followersku akun mati semua jadi gada yg liat bodo amat hwehehehe
0,"ketinggian b aja, gak takut tpi takjub tp itu beneran setinggi ini? badut asli gua jerit jerit, publik speaking cukup gua punya panik attack tp gua berani, nyebrang gua bbrp kali nyebrang ditabrak hampir mati ehe"
0,"Sampai kemudian, ia ditemukan terbujur kaku. Kematian tragis merenggut hidupnya. Tak ada yang bisa di salahkan. Dia, memilih mengakhiri hidup dengan cara pengecut. Bunuh diri!"
0,"Dihantam Berbagi Cobaan, Ringgo Agus Rahman Akui Pernah Ingin Bunuh Diri https://t.co/I7EP6EJLLI"
0,GMC kalo mati lampu mulu gardu listrik nya gusur aja ganti warung pecel lele
0,"@tanyakanrl Dia yg bunuh(walaupun disuruh) dapet hukuman ringan aja udah aneh lah ini.. malah msih jadiin polri. Dahlah gatau lagi hukum di indo aneh, pdhl yg bunuh begal aja dipenjara lama loh pdhl jelas2 dia bela diri dri begal."
0,@18fesss Biarin aja coba..mati ga
0,atp aku klau diberikan pilihan utk bunuh diri atau duduk exam bio+chem dlm 1 hari aku pilih 1st gentlee
