label,Text
0,"@nhgdgf @dkymii @toonyoungiee kalo gitu waktu idol lo dibanding bandingin gitu lo bela aja dong itu label, kan cinta label, lo mati matian bela label sedangkan label nyinggung idol lo sendiri"
0,"Gatau saking udh biasa sakitnya kyk udh kebal aja, mati kali hati w"
0,"@cilliepie Semoga kita bulan maret dapat warna biru barengan aamiin ðŸ¤²ðŸ»ðŸ˜­ Gapapa aku juga kemarin bunuh diri, semoga Tuhan berbaik hati menolongku aamiin ðŸ˜­"
0,"@kyudamiso Ngga deh, dia make no hp aja mana itu no hp lama lagi, udh mati:("
0,"@tanyarlfes udah pernah ngalamin, nnton film horor balik2 mallnya udah pd tutup trus pintu keluar pada di kunci, eskalator mati, anjggg untung aja ketemu pintu keluar 1"
0,"@IISMAfess payment nya failed itu. kemungkinan saldo nya kurang atau kartu nya mati. kemarin aku gt pas saldo kurang. coba cek, uda ketarik belum dana nya. kalau udah coba hubungi pihak bank, kalau belum coba lagi aja. kalau masi gabisa dm aja i can help"
0,@RomeoWalker19 @DivHumas_Polri Klo negara lambat sebaiknya lawan aja para intoleran itu pake cara sendiri...mungkin negara nunggu ada yang mati dulu baru bertindak...LAWAN!!!
0,@DeltaTirta min ini sampek sekarang makarya juga masih mati katanya sampek jam 12 aja
0,@lapen_mocca78 Benci tetap benci..harus dipikirkan juga perasaan orang tua yang anaknya mati terbunuh ga pas aja si ðŸ™ðŸ½  https://t.co/gcIHoiQiHz
0,"Knp si cewek cewek indo, rela mati buat bts? Apa karna perjuanganya??? Apa gmn.  Katanya sih perjuangan kalau gitu sama kuli bangunan aja sono, kan perjuanganya gede xixixi"
0,@zv_akaza @GOAL_ID lu klo mau pelatihnya Pep Guardiola atau SAF sekalipun kalau pemainnya aja masih error passing AFF ampe lu mati pun gk bakal dapat bego
0,mati @yerin7fb @joy6fb hahahhh. tp seer berhasil nebak wwnya sapa neh. woww semakin sengit langsung aja vote ges
0,"dah gila ya, orangtua gue aja mati-matian ngasih gue kehidupan enak dan pendidikan biar ga idup susah, ini malah mau ngajak susah gimana sih ðŸ¥²"
0,gue udah teriak teriak mau mati pun tetep aja digaslight. ðŸ˜‚
0,@savicali Hukum mati aja bos yg di pukuli bocah usia 15 tahun
0,"@NKRI_jokowisyoo Biarin aja gak usah direspon lor marahi kupingmu rusak,,wong udah tua lama2 mati sendiri lor,ðŸ‡®ðŸ‡©ðŸ‘"
