label,Text
0,rada aneh aja sih ganteng sih boleh tapi masa iya pernah nembak mati orang meski perintah atasan
0,belleeriina moonareas should bucin bgt asik tidak akan mati topik baik hati dan tidak sombong tp songong ajakin ghibah mantab shouldn t baperrr hobi denial hw mulu neng selebihnya coba lgsg aja dik mw jg dik
0,tanyakanrl kalo aku masi pake hp legend a k a j prime nder ngelag sering mati tapi gapapa gassin aja wkwk
0,infobdg tembak mati lah biar gak ada keturunanya soale pasti gen mereka lahir bergenerasi bapaknya aja anjing apalagi keturunanya
0,aku tidur pas mati lampu gelap gulita hening tanpa suara jangkrik dan suara mesin aja udah gelisah sesek nafas apalagi gladi resik alam kubur bukannya healing malah makin stress
0,suatu malam tanggal november terjadi serangkaian serangan teroris terencana berupa penembakan massal bom bunuh diri dan penyanderaan yang terjadi di paris dan saint denis kota pinggiran sebelah utara prancis sejak pukul cet
0,olivehateem romeogadungan tapi kalo topik bunuh diri wajar kok yang nge tweet kasih trigger warning selain juga usaha kita sendiri menghindari topik itu
0,johnbovii kegblgnunfaedh bekerjalah seakan kamu akan hidup selamanya maksudnya kerja itu santai aja masih ada waktu lama beribadahlah seakan kamu akan mati besok bayangin besok mati maka harus beribadah yang semangat dan sebanyak nya
0,sebenernya di balik banyak yg bunuh diri menabrakkan kereta di jepang itu kompleks gaes tidak bisa langsung dihakimi ngerepotin keluarga krn denda yg banyak ga kasihan apa sama keluarga kompleksssss
0,dulu gue ikut team streaming di genie cmn krna genie sering mati sendiri jadi males kali ini spotify aja deh kyknya
0,ajg mo kelas pagi aja pake ada drama air mati
0,nie air kalau sampai tengah hari masih mati aja aku ngamuk https t co oegi dhotu
0,mahabrewu govoes ya memang fakta kok bundir di tempat umum merugikan banyak pihak kl sjw membenarkan bunuh diri karena alasan mental health minimla bundir di kuburan lah ga nyusahin banyak org jgn di tempat umum atau di hotel bikin rugi banyak pihak banyak bgt yg dirugikan
0,tanyakanrl lah kocak lu biarin aja dia mati emang dia mikirin si david yg dia videoin
0,temen mah emg gitu ges sukanya ngambil yg kita punya ehehe cuma mau ngingetin aja hiv obatnya cuma mati
0,dandyaksaaril iya cuy sama aja nyerahin jiwa ke ini game
0,niko junius sebagai penutup saya ingin membagikan beberapa link yang terkait masalah bunuh diri di stasiun kereta ini sebagai bahan pikiran dan pertimbangan bagi kita semua https t co dymz jhvk https t co mbbbsur cr https t co s p rncip
0,tanyakanrl ngapain mati ya lanjutin lah rencana mu yg mau s omongan orang mah jangan didengerin anggap angin lalu aja kalo aku jadi kamu aku bakal sengaja manas manasin mereka dengan aku yg semangat ngejar pendidikan wkwk bodoamat dikatain gak laku juga emangnya cewek barang
0,ronaldo tanyakanrl mati fix anak orang itu soalnya bagian kepala dan dia udh ga sadarkan diri dihantem lagi kepalanya tunggu aja skrg lg koma hukum mati aja pelaku
0,carolluvers vivacoid mana ada jd hukuman mati duitnya aja ratusan m paling ganti identitas aja mana kotak pandora tentang busuknya hukum dia yg pegang
0,bosen hidup cape hidup
0,kalau dia nggak mati itu berarti dia terlalu kuat buat dunia ini
